time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0,0,0,0,0,10.31,4.97,0
20200101:0110,0,0,0,0,0,10.25,4.83,0
20200101:0210,0,0,0,0,0,10.21,4.34,0
20200101:0310,0,0,0,0,0,10.14,4.28,0
20200101:0410,0,0,0,0,0,10,5.03,0
20200101:0510,0,0,0,0,0,9.92,4.9,0
20200101:0610,0,0,0,0,0,9.9,4.28,0
20200101:0710,8.46,0,21,0,3.8,9.96,3.79,0
20200101:0810,112.68,117.01,58,0,11.76,10.14,3.24,0
20200101:0910,218.82,209.01,81,0,18,10.71,3.17,0
20200101:1010,300.8,310.01,69,0,22.02,11.09,4.55,0
20200101:1110,322.47,322.01,79,0,23.37,11.25,4.83,0
20200101:1210,297.58,302.01,73,0,21.91,11.35,5.1,0
20200101:1310,227.24,259.01,46,0,17.81,11.46,4.9,0
20200101:1410,107.15,116.01,54,0,11.49,11.58,4.62,0
20200101:1510,4.04,0,14,0,3.48,11.57,3.52,0
20200101:1610,0,0,0,0,0,11.39,2.55,0
20200101:1710,0,0,0,0,0,11.12,2.48,0
20200101:1810,0,0,0,0,0,10.83,3.59,0
20200101:1910,0,0,0,0,0,10.64,4.07,0
20200101:2010,0,0,0,0,0,10.48,3.93,0
20200101:2110,0,0,0,0,0,10.46,3.59,0
20200101:2210,0,0,0,0,0,10.86,3.59,0
20200101:2310,0,0,0,0,0,10.77,3.86,0
20200102:0010,0,0,0,0,0,10.61,4.55,0
20200102:0110,0,0,0,0,0,10.45,4.55,0
20200102:0210,0,0,0,0,0,10.35,4.34,0
20200102:0310,0,0,0,0,0,10.28,4.48,0
20200102:0410,0,0,0,0,0,10.21,4.34,0
20200102:0510,0,0,0,0,0,10.15,4.14,0
20200102:0610,0,0,0,0,0,10.1,4.21,0
20200102:0710,8.46,0,21,0,3.81,10,4.34,0
20200102:0810,116.68,133.01,50,0,11.78,10.13,4.41,0
20200102:0910,227.3,229.01,71,0,18.04,10.37,4.76,0
20200102:1010,303.83,309.01,72,0,22.08,10.35,4.62,0
20200102:1110,323.72,315.01,86,0,23.46,10.44,4.48,0
20200102:1210,305.11,318.01,65,0,22.02,10.48,4.9,0
20200102:1310,232.74,265.01,45,0,17.93,10.46,5.17,0
20200102:1410,111.28,122.01,53,0,11.62,10.51,4.97,0
20200102:1510,4.66,0,15,0,3.61,10.46,4.14,0
20200102:1610,0,0,0,0,0,10.37,3.38,0
20200102:1710,0,0,0,0,0,10.26,2.97,0
20200102:1810,0,0,0,0,0,10.01,2.83,0
20200102:1910,0,0,0,0,0,9.69,2.9,0
20200102:2010,0,0,0,0,0,9.41,2.62,0
20200102:2110,0,0,0,0,0,9.18,2.9,0
20200102:2210,0,0,0,0,0,8.9,2.97,0
20200102:2310,0,0,0,0,0,8.66,2.41,0
20200103:0010,0,0,0,0,0,8.42,2.21,0
20200103:0110,0,0,0,0,0,8.49,2.48,0
20200103:0210,0,0,0,0,0,8.74,2.62,0
20200103:0310,0,0,0,0,0,9.03,2.55,0
20200103:0410,0,0,0,0,0,8.99,2.28,0
20200103:0510,0,0,0,0,0,8.89,2.34,0
20200103:0610,0,0,0,0,0,8.84,2.48,0
20200103:0710,9.85,0,23,0,3.82,8.84,2.76,0
20200103:0810,116.31,128.01,53,0,11.81,9.1,2.83,0
20200103:0910,229.69,238.01,66,0,18.09,9.77,3.03,0
20200103:1010,300.59,298.01,80,0,22.15,10.1,3.17,0
20200103:1110,317.34,292.01,102,0,23.55,10.37,3.38,0
20200103:1210,195.22,59,186,0,22.13,10.5,3.38,0
20200103:1310,227.68,241.01,62,0,18.05,10.68,3.31,0
20200103:1410,83.29,30,91,0,11.75,10.73,3.31,0
20200103:1510,6.49,0,18,0,3.75,10.66,3.31,0
20200103:1610,0,0,0,0,0,10.63,2.69,0
20200103:1710,0,0,0,0,0,10.71,2.07,0
20200103:1810,0,0,0,0,0,10.6,2.21,0
20200103:1910,0,0,0,0,0,10.26,2.55,0
20200103:2010,0,0,0,0,0,9.53,2.69,0
20200103:2110,0,0,0,0,0,9.19,2.76,0
20200103:2210,0,0,0,0,0,9.52,3.31,0
20200103:2310,0,0,0,0,0,9.55,3.72,0
20200104:0010,0,0,0,0,0,9.42,3.59,0
20200104:0110,0,0,0,0,0,9.42,3.79,0
20200104:0210,0,0,0,0,0,9.42,3.93,0
20200104:0310,0,0,0,0,0,9.46,3.59,0
20200104:0410,0,0,0,0,0,9.57,3.59,0
20200104:0510,0,0,0,0,0,9.69,4.07,0
20200104:0610,0,0,0,0,0,9.74,4.34,0
20200104:0710,9.81,0,23,0,3.83,9.68,4.41,0
20200104:0810,66.3,10,86,0,11.84,9.87,4.62,0
20200104:0910,142.72,37,148,0,18.15,10.23,4.76,0
20200104:1010,246.29,146.01,161,0,22.23,11.17,5.52,0
20200104:1110,321.71,310.01,87,0,23.65,11.29,6.76,0
20200104:1210,305.28,314.01,67,0,22.25,11.2,7.79,0
20200104:1310,233.42,261.01,48,0,18.18,11.13,7.59,0
20200104:1410,114,126.01,52,0,11.89,11.04,7.45,0
20200104:1510,7.76,0,20,0,3.89,10.96,6.34,0
20200104:1610,0,0,0,0,0,10.82,5.45,0
20200104:1710,0,0,0,0,0,10.75,6.14,0
20200104:1810,0,0,0,0,0,10.77,5.52,0
20200104:1910,0,0,0,0,0,10.86,5.38,0
20200104:2010,0,0,0,0,0,10.91,5.17,0
20200104:2110,0,0,0,0,0,10.92,4.97,0
20200104:2210,0,0,0,0,0,11.2,4.69,0
20200104:2310,0,0,0,0,0,11.28,5.24,0
20200105:0010,0,0,0,0,0,11.43,5.1,0
20200105:0110,0,0,0,0,0,11.55,5.24,0
20200105:0210,0,0,0,0,0,11.63,4.41,0
20200105:0310,0,0,0,0,0,11.54,2.9,0
20200105:0410,0,0,0,0,0,11.43,2.07,0
20200105:0510,0,0,0,0,0,11.26,2.48,0
20200105:0610,0,0,0,0,0,11.09,2.34,0
20200105:0710,7.75,0,20,0,3.85,10.8,1.1,0
20200105:0810,119.36,142.01,47,0,11.88,11.07,1.93,0
20200105:0910,231.17,239.01,68,0,18.21,12.01,4.55,0
20200105:1010,311.72,329.01,64,0,22.31,12.88,6.28,0
20200105:1110,331.93,324.01,86,0,23.76,12.14,7.45,0
20200105:1210,314.64,323.01,69,0,22.37,11.3,7.79,0
20200105:1310,243.8,276.01,45,0,18.32,10.77,8.07,0
20200105:1410,121.77,140.01,49,0,12.04,10.4,7.86,0
20200105:1510,9.79,0,23,0,4.04,10.22,7.03,0
20200105:1610,0,0,0,0,0,10.25,5.79,0
20200105:1710,0,0,0,0,0,10.38,4.97,0
20200105:1810,0,0,0,0,0,10.24,4.69,0
20200105:1910,0,0,0,0,0,9.94,4.62,0
20200105:2010,0,0,0,0,0,9.6,4.62,0
20200105:2110,0,0,0,0,0,9.28,4.76,0
20200105:2210,0,0,0,0,0,9.72,3.86,0
20200105:2310,0,0,0,0,0,9.37,4.21,0
20200106:0010,0,0,0,0,0,8.93,4.97,0
20200106:0110,0,0,0,0,0,8.53,5.45,0
20200106:0210,0,0,0,0,0,8.18,5.52,0
20200106:0310,0,0,0,0,0,7.97,5.17,0
20200106:0410,0,0,0,0,0,7.82,4.41,0
20200106:0510,0,0,0,0,0,7.7,3.66,0
20200106:0610,0,0,0,0,0,7.6,3.1,0
20200106:0710,10.62,0,24,0,3.88,7.43,2.69,0
20200106:0810,113.76,103.01,68,0,11.93,7.45,2.28,0
20200106:0910,222.29,199.01,91,0,18.28,7.61,1.66,0
20200106:1010,268.68,186.01,146,0,22.41,8.16,3.31,0
20200106:1110,332.98,320.01,88,0,23.88,8.24,3.79,0
20200106:1210,308.77,302.01,81,0,22.51,8.35,3.72,0
20200106:1310,242.77,270.01,48,0,18.47,8.45,4.07,0
20200106:1410,122.33,134.01,53,0,12.19,8.51,4.21,0
20200106:1510,8.53,0,21,0,4.19,8.5,4.07,0
20200106:1610,0,0,0,0,0,8.48,3.79,0
20200106:1710,0,0,0,0,0,8.51,3.24,0
20200106:1810,0,0,0,0,0,8.52,2.97,0
20200106:1910,0,0,0,0,0,8.5,2.9,0
20200106:2010,0,0,0,0,0,8.45,3.17,0
20200106:2110,0,0,0,0,0,8.42,3.59,0
20200106:2210,0,0,0,0,0,8.73,3.1,0
20200106:2310,0,0,0,0,0,8.54,3.52,0
20200107:0010,0,0,0,0,0,8.4,4.21,0
20200107:0110,0,0,0,0,0,8.32,4.14,0
20200107:0210,0,0,0,0,0,8.29,3.72,0
20200107:0310,0,0,0,0,0,8.25,3.66,0
20200107:0410,0,0,0,0,0,8.2,4.07,0
20200107:0510,0,0,0,0,0,8.16,4.41,0
20200107:0610,0,0,0,0,0,8.13,3.86,0
20200107:0710,7.23,0,19,0,3.92,8.07,3.1,0
20200107:0810,120.85,142.01,46,0,11.98,8.35,3.59,0
20200107:0910,234.92,240.01,67,0,18.35,8.82,4.34,0
20200107:1010,307.08,301.01,82,0,22.51,9.12,3.24,0
20200107:1110,297.66,220.01,146,0,24,9.34,3.31,0
20200107:1210,301.75,275.01,99,0,22.65,9.52,4.76,0
20200107:1310,129.52,22,146,0,18.62,9.5,4.34,0
20200107:1410,109.49,77,83,0,12.34,9.46,4.28,0
20200107:1510,11.21,0,25,0,4.35,9.28,5.38,0
20200107:1610,0,0,0,0,0,9.05,5.86,0
20200107:1710,0,0,0,0,0,8.97,5.93,0
20200107:1810,0,0,0,0,0,8.95,5.86,0
20200107:1910,0,0,0,0,0,8.96,6.14,0
20200107:2010,0,0,0,0,0,9.07,6.41,0
20200107:2110,0,0,0,0,0,9.27,6.48,0
20200107:2210,0,0,0,0,0,8.75,6.69,0
20200107:2310,0,0,0,0,0,8.91,6.9,0
20200108:0010,0,0,0,0,0,8.95,6.48,0
20200108:0110,0,0,0,0,0,8.86,5.93,0
20200108:0210,0,0,0,0,0,8.82,5.52,0
20200108:0310,0,0,0,0,0,8.96,5.03,0
20200108:0410,0,0,0,0,0,9.25,4.76,0
20200108:0510,0,0,0,0,0,9.26,4.62,0
