Regions,Average daily load [kWh]
Abruzzo,4.061869863013707
Basilicata,4.344536164383557
Calabria,5.216107123287678
Campania,5.558698904109587
Emilia-Romagna,4.6141835616438245
Friuli-Venezia Giulia,4.738096712328763
Lazio,4.8373098630136955
Liguria,3.534012876712335
Lombardia,4.795703287671225
Marche,4.627409315068484
Molise,3.956880821917813
Piemonte,4.296708767123273
Puglia,5.0971772602739644
Sardegna,5.910472054794528
Sicilia,5.9017865753424905
Toscana,4.657905205479457
Trentino-Alto Adige,3.7326375342465754
Umbria,4.8248498630137036
Valle d'Aosta,2.617521917808225
Veneto,4.951872602739731
