,PV size (W),EZ size (W),BESS Cap (Wh),BESS Power (W),Minimum lf,Produced $H_2$ (kg),Minimum EZ load (W),Average daily load [kWh]
Abruzzo,2220,233.99814081377437,6463,6463,0.9500000000000003,0.16077280001906488,222.2982337730857,4.061869863013707
Basilicata,2190,221.7953423045123,6458,6458,0.9500000000000003,0.15238863902710262,210.70557518928675,4.344536164383557
Calabria,2120,172.57108110058573,6468,6468,0.9500000000000003,0.11856818953505588,163.9425270455565,5.216107123287678
Campania,2230,153.96173183599512,6515,6515,0.9500000000000003,0.10578228800012862,146.2636452441954,5.558698904109587
Emilia-Romagna,2330,189.0429852325802,6479,6479,0.9500000000000003,0.12993905264431244,179.59083597095125,4.6141835616438245
Friuli-Venezia Giulia,2450,185.6093434,6312,6312,0.9500000000000003,0.12752802107425032,176.3288762342304,4.738096712328763
Lazio,2220,206.19121853007613,6490,6490,0.9500000000000003,0.1418115279668225,195.8816576035724,4.8373098630136955
Liguria,2250,260.7207891,6476,6476,0.9500000000000003,0.17913309542147984,247.68474964532876,3.534012876712335
Lombardia,2430,188.1061374119369,6509,6509,0.9500000000000003,0.12945191715304408,178.7008305413401,4.795703287671225
Marche,2280,198.51222959414153,6443,6443,0.9500000000000003,0.1363915408852637,188.58661811443451,4.627409315068484
Molise,2220,234.43461394496222,6425,6425,0.9500000000000003,0.1610726870488938,222.7128832477142,3.956880821917813
Piemonte,2320,230.3657452941648,6504,6504,0.9500000000000003,0.15827709472656384,218.84745802945665,4.296708767123273
Puglia,2120,167.70606484489065,6322,6322,0.9500000000000003,0.1152255891073506,159.32076160264617,5.0971772602739644
Sardegna,2160,123.41238744741733,6285,6285,0.9500000000000003,0.084792789,117.2417680750465,5.910472054794528
Sicilia,2030,127.1121838256134,6376,6376,0.9500000000000003,0.087334804,120.75657463433276,5.9017865753424905
Toscana,2260,196.43594111155903,6474,6474,0.9500000000000003,0.13522574262601691,186.61414405598114,4.657905205479457
Trentino-Alto Adige,2220,251.3150856,6304,6304,0.9500000000000003,0.17267073085471607,238.74933128464204,3.7326375342465754
Umbria,2260,188.49575047885187,6482,6482,0.9500000000000003,0.12950953153212438,179.07096295490933,4.8248498630137036
Valle d'Aosta,2040,286.19895923672374,6519,6519,0.9500000000000003,0.19674208259123283,271.88901127488765,2.617521917808225
Veneto,2300,114.02332386644062,6296,6296,0.9500000000000003,0.078341858,108.32215767311862,4.951872602739731
