,EZ size (W),BESS Cap [Wh],BESS Power [W],minimum lf,minimum load [kW]
Abruzzo,70.59365666334801,1169.4273574171527,1169.4273574171527,0.9500000000000003,67.06397383018063
Basilicata,75.07472801854823,1233.3995452113431,1233.3995452113431,0.9500000000000003,71.32099161762083
Calabria,76.77851837745189,1281.1766806322607,1281.1766806322607,0.9500000000000003,72.93959245857931
Campania,70.29150181990818,1151.8032916600728,1151.8032916600728,0.9500000000000003,66.77692672891278
Emilia-Romagna,74.1681689097419,1152.5490801333497,1152.5490801333497,0.9500000000000003,70.45976046425483
Friuli-Venezia Giulia,65.9276363261519,1040.52868261004,1040.52868261004,0.9500000000000003,62.631254509844325
Lazio,75.89443428272794,1247.8143781029526,1247.8143781029526,0.9500000000000003,72.09971256859157
Liguria,65.00998751560545,1008.3549859550563,1008.3549859550563,0.9500000000000003,61.759488139825194
Lombardia,68.12890480306204,1089.6312816397083,1089.6312816397083,0.9500000000000003,64.72245956290897
Marche,80.91616248919617,1325.20650697617,1325.20650697617,0.9500000000000003,76.87035436473639
Molise,76.17755583298651,1260.631849077542,1260.631849077542,0.9500000000000003,72.3686780413372
Piemonte,65.05178304505657,989.5067264573995,989.5067264573995,0.9500000000000003,61.79919389280376
Puglia,79.63081861958261,1287.7989566613162,1287.7989566613162,0.9500000000000003,75.6492776886035
Sardegna,71.82250999809554,1183.3638830698915,1183.3638830698915,0.9500000000000003,68.23138449819078
Sicilia,90.4403705893948,1488.9954169130694,1488.9954169130694,0.9500000000000003,85.91835205992508
Toscana,69.32238547968882,1108.8274272543933,1108.8274272543933,0.9500000000000003,65.8562662057044
Trentino-Alto Adige,84.20639249481836,1293.8219973819141,1293.8219973819141,0.9500000000000003,79.99607287007747
Umbria,77.48813982521843,1245.7667498959634,1245.7667498959634,0.9500000000000003,73.61373283395753
Valle d'Aosta,98.43382391728642,1505.6055810518542,1505.6055810518542,0.9500000000000003,93.51213272142212
Veneto,59.28539325842692,944.2571785268414,944.2571785268414,0.9500000000000003,56.32112359550559
