,PV size (W),EZ size (W),BESS Cap [Wh],BESS Power [W],minimum lf,Produced H2 (kg),minimum EZ load (W)
Abruzzo,2220.0,233.99814081377437,6462.09865100781,6463.0,0.9500000000000003,0.16077280001906488,222.2982337730857
Basilicata,2190.0,221.7953423045123,6457.387577797819,6458.0,0.9500000000000003,0.15238863902710262,210.70557518928675
Calabria,2120.0,172.57108110058573,6467.693057391599,6468.0,0.9500000000000003,0.11856818953505588,163.9425270455565
Campania,2230.0,153.96173183599512,6514.997706040899,6515.0,0.9500000000000003,0.10578228800012862,146.2636452441954
Emilia-Romagna,2330.0,189.0429852325802,6478.022694188494,6479.0,0.9500000000000003,0.12993905264431244,179.59083597095125
Friuli-Venezia Giulia,2450.0,185.609343404453,6311.893237817277,6312.0,0.9500000000000003,0.12752802107425032,176.3288762342304
Lazio,2220.0,206.19121853007613,6489.456801928102,6490.0,0.9500000000000003,0.1418115279668225,195.8816576035724
Liguria,2250.0,260.720789100346,6475.208532010648,6476.0,0.9500000000000003,0.17913309542147984,247.68474964532876
Lombardia,2430.0,188.1061374119369,6508.233978164355,6509.0,0.9500000000000003,0.12945191715304408,178.7008305413401
Marche,2280.0,198.51222959414153,6442.446406843188,6443.0,0.9500000000000003,0.1363915408852637,188.58661811443451
Molise,2220.0,234.43461394496222,6424.487824967944,6425.0,0.9500000000000003,0.1610726870488938,222.7128832477142
Piemonte,2320.0,230.3657452941648,6503.632355523975,6504.0,0.9500000000000003,0.15827709472656384,218.84745802945665
Puglia,2120.0,167.70606484489065,6321.890845455551,6322.0,0.9500000000000003,0.1152255891073506,159.32076160264617
Sardegna,2160.0,123.41238744741733,6284.084678784745,6285.0,0.9500000000000003,0.08479278945532125,117.2417680750465
Sicilia,2029.9999999999998,127.1121838256134,6375.286919462466,6376.0,0.9500000000000003,0.0873348037685732,120.75657463433276
Toscana,2260.0,196.43594111155903,6473.4652756224,6474.0,0.9500000000000003,0.13522574262601691,186.61414405598114
Trentino-Alto Adige,2220.0,251.315085562781,6303.4935877968865,6304.0,0.9500000000000003,0.17267073085471607,238.74933128464204
Umbria,2260.0,188.49575047885187,6481.195299082002,6482.0,0.9500000000000003,0.12950953153212438,179.07096295490933
Valle d'Aosta,2040.0,286.19895923672374,6518.601567411351,6519.0,0.9500000000000003,0.19674208259123283,271.88901127488765
Veneto,2300.0,114.02332386644062,6295.047111809707,6296.0,0.9500000000000003,0.07834185768201286,108.32215767311862
